country_name_short,cabinet_name,share_seats,weighted_lr,weighted_sm,weighted_la,ICU,debt_share_on_gdp,stringency,incidence_c,waves
BEL,Wilmes II,25.3333333333333,6.49759473684211,6.86646315789474,5.00024210526316,56.5,103,73.8513541666667,2.895009375,1
BEL,Wilmes II,25.3333333333333,6.49759473684211,6.86646315789474,5.00024210526316,56.5,103,57.2085620915033,2.45483888888889,2
BEL,Wilmes II,25.3333333333333,6.49759473684211,6.86646315789474,5.00024210526316,56.5,103,60.4542771084337,2.30129542857143,3
BGR,Borisov III,50.8333333333333,7.70983606557377,6.28934426229508,7.33196721311475,59.5,24,50.7516352201258,0.265302830188679,1
BGR,Borisov III,50.8333333333333,7.70983606557377,6.28934426229508,7.33196721311475,59.5,24,45.662,2.32390321428571,2
BGR,Borisov III,50.8333333333333,7.70983606557377,6.28934426229508,7.33196721311475,59.5,24,52.9476923076923,3.78992420382166,3
HRV,Plenkovic II,46.3576158940397,6.42860285714286,5.81457,6.26439142857143,39.9,78,68.3321052631579,0.193937719298246,1
HRV,Plenkovic II,46.3576158940397,6.42860285714286,5.81457,6.26439142857143,39.9,78,67.6479268292683,0.842180792682927,2
HRV,Plenkovic II,46.3576158940397,6.42860285714286,5.81457,6.26439142857143,39.9,78,70.4030088495575,1.47918155737705,3
CYP,Anastasiades IV,32.1428571428572,8.6842,7.3684,5,34.1,96,56.0463114754098,0.180943032786885,1
CYP,Anastasiades IV,32.1428571428572,8.6842,7.3684,5,34.1,96,49.1921379310345,2.04417827586207,2
CYP,Anastasiades IV,32.1428571428572,8.6842,7.3684,5,34.1,96,68.6768983957219,4.68380049751244,3
CZE,Babis II,46.5,5.52359677419355,6.10372580645161,3.70424193548387,42.5,35,66.1688181818182,0.810260454545455,1
CZE,Babis II,46.5,5.52359677419355,6.10372580645161,3.70424193548387,42.5,35,68.6192156862745,2.13435326797386,2
CZE,Babis II,46.5,5.52359677419355,6.10372580645161,3.70424193548387,42.5,35,75.0292,2.02889356060606,3
DNK,Frederiksen,26.8156424581006,3.8011,3.5292,4.2722,24.6,35,64.0362406015038,0.0937259398496241,1
DNK,Frederiksen,26.8156424581006,3.8011,3.5292,4.2722,24.6,35,53.0403349282297,0.457722009569378,2
DNK,Frederiksen,26.8156424581006,3.8011,3.5292,4.2722,24.6,35,60.9807438016529,0.310430769230769,3
EST,Ratas II,56.4356435643564,5.12032280701754,5.01419122807018,5.87941052631579,36.7,9,58.3590654205608,0.318483516483516,1
EST,Ratas II,56.4356435643564,5.12032280701754,5.01419122807018,5.87941052631579,36.7,9,41.418024691358,0.981353296703297,2
EST,Ratas II,56.4356435643564,5.12032280701754,5.01419122807018,5.87941052631579,36.7,9,49.8354263565892,1.76741590909091,3
FRA,Philippe II,80.5892547660312,6.35802516129032,6.61301462365591,4.63930086021505,42.8,97,77.1131868131868,0.254689252336449,1
FRA,Philippe II,80.5892547660312,6.35802516129032,6.61301462365591,4.63930086021505,42.8,97,62.5971978021978,0.77129475308642,2
FRA,Philippe II,80.5892547660312,6.35802516129032,6.61301462365591,4.63930086021505,42.8,97,67.9728795811518,1.79117147887324,3
DEU,Merkel V,56.2764456981664,5.25131353383459,5.38904436090226,5.80048646616541,62.1,64,78.0424324324324,2.28039684684685,1
DEU,Merkel V,56.2764456981664,5.25131353383459,5.38904436090226,5.80048646616541,62.1,64,57.7329661016949,1.69082118644068,2
DEU,Merkel V,56.2764456981664,5.25131353383459,5.38904436090226,5.80048646616541,62.1,64,64.8923316062176,2.87058292079208,3
GRC,Mitsotakis Kyr,52.6666666666667,6.7365,6.9754,6.6712,34.6,182,70.5408928571429,1.14956339285714,1
GRC,Mitsotakis Kyr,52.6666666666667,6.7365,6.9754,6.6712,34.6,182,67.3702272727273,0.672976136363636,2
GRC,Mitsotakis Kyr,52.6666666666667,6.7365,6.9754,6.6712,34.6,182,76.6714110429448,1.54188404907975,3
HUN,Orban IV,66.8341708542714,6.64627368421053,3.77536315789474,7.62404135338346,42.9,74,65.5565925925926,0.00707518518518519,1
HUN,Orban IV,66.8341708542714,6.64627368421053,3.77536315789474,7.62404135338346,42.9,74,67.1993063583815,0.148739595375723,2
HUN,Orban IV,66.8341708542714,6.64627368421053,3.77536315789474,7.62404135338346,42.9,74,78.6768148148148,0.220351315789474,3
IRL,Varadkar II,21.875,6.4372,6.1603,5.787,24,69,66.4400746268657,0.0140022388059701,1
IRL,Varadkar II,21.875,6.4372,6.1603,5.787,24,69,41.0217277486911,0.329228272251309,2
IRL,Varadkar II,21.875,6.4372,6.1603,5.787,24,69,47.367131147541,0.263982196969697,3
ITA,Conte II,56.031746031746,3.45557847025496,3.57405099150142,3.35569858356941,27.5,132,63.1225517241379,0.0213872413793103,1
ITA,Conte II,56.031746031746,3.45557847025496,3.57405099150142,3.35569858356941,27.5,132,57.9484713375796,0.376251910828026,2
ITA,Conte II,56.031746031746,3.45557847025496,3.57405099150142,3.35569858356941,27.5,132,72.5759090909091,0.609511258278146,3
LTU,Skvernelis III,58.1560283687943,3.52919268292683,3.81823414634146,5.78376097560976,63.4,40,81.1186956521739,0.941604891304348,1
LTU,Skvernelis III,58.1560283687943,3.52919268292683,3.81823414634146,5.78376097560976,63.4,40,75.9050470219436,0.686418085106383,2
LTU,Skvernelis III,58.1560283687943,3.52919268292683,3.81823414634146,5.78376097560976,63.4,40,80.8434715025907,0.96713475,3
LUX,Bettel II,51.6666666666667,4.3336064516129,4.58402903225807,1.72328709677419,41.1,23,78.4001941747573,1.73433640776699,1
LUX,Bettel II,51.6666666666667,4.3336064516129,4.58402903225807,1.72328709677419,41.1,23,72.2746153846154,2.08037884615385,2
LUX,Bettel II,51.6666666666667,4.3336064516129,4.58402903225807,1.72328709677419,41.1,23,78.643025210084,2.0409015625,3
MLT,Abela,55.2238805970149,4.2105,5.1128,6.3158,33.4,51,73.8028235294118,0.0127435294117647,1
MLT,Abela,55.2238805970149,4.2105,5.1128,6.3158,33.4,51,53.3217204301075,0.301076344086022,2
MLT,Abela,55.2238805970149,4.2105,5.1128,6.3158,33.4,51,53.084958677686,0.177208984375,3
NLD,Rutte V,50.6666666666667,6.20784736842105,6.45616710526316,4.58411710526316,33.2,57,66.4789887640449,1.37404719101124,1
NLD,Rutte V,50.6666666666667,6.20784736842105,6.45616710526316,4.58411710526316,33.2,57,47.7447247706422,1.4385002293578,2
NLD,Rutte V,50.6666666666667,6.20784736842105,6.45616710526316,4.58411710526316,33.2,57,50.5191034482759,1.72711920529801,3
PRT,Costa II,46.9565217391304,4.0492,4.2716,3.5411,32.5,126,76.9953608247423,0.0105077319587629,1
PRT,Costa II,46.9565217391304,4.0492,4.2716,3.5411,32.5,126,46.0229452054795,0.134959931506849,2
PRT,Costa II,46.9565217391304,4.0492,4.2716,3.5411,32.5,126,59.8914772727273,0.137808994708995,3
ROU,Orban II,20.9726443768997,6.0543,7.245,3.5474,40.3,37,71.0655238095238,1.85022238095238,1
ROU,Orban II,20.9726443768997,6.0543,7.245,3.5474,40.3,37,61.5249038461539,1.19817283653846,2
ROU,Orban II,20.9726443768997,6.0543,7.245,3.5474,40.3,37,72.2583739837399,1.74449090909091,3
SVK,Matovic,63.3333333333333,7.2821052631579,6.38947368421053,6.37368421052632,49.1,51,72.8380405405405,0.560555405405405,1
SVK,Matovic,63.3333333333333,7.2821052631579,6.38947368421053,6.37368421052632,49.1,51,61.9598507462687,1.42619440298507,2
SVK,Matovic,63.3333333333333,7.2821052631579,6.38947368421053,6.37368421052632,49.1,51,75.1912307692308,2.37081615384615,3
SVN,Jansa III,52.2222222222222,5.95058510638298,4.97395319148936,6.14936382978724,42.3,74,81.6240277777778,0.510109722222222,1
SVN,Jansa III,52.2222222222222,5.95058510638298,4.97395319148936,6.14936382978724,42.3,74,56.6453389830509,2.07057563559322,2
SVN,Jansa III,52.2222222222222,5.95058510638298,4.97395319148936,6.14936382978724,42.3,74,62.4010784313726,2.63295310077519,3
ESP,Sanchez III,44.2857142857143,3.18725161290323,3.42049032258065,3.03089032258064,23.9,98,72.235375,0.003203125,1
ESP,Sanchez III,44.2857142857143,3.18725161290323,3.42049032258065,3.03089032258064,23.9,98,48.0567592592593,0.0561361111111111,2
ESP,Sanchez III,44.2857142857143,3.18725161290323,3.42049032258065,3.03089032258064,23.9,98,68.0549444444445,0.503823831775701,3
SWE,Lofven III,33.2378223495702,3.43562413793104,3.54082413793104,4.17574827586207,23.4,41,64.8916,0.352579,1
SWE,Lofven III,33.2378223495702,3.43562413793104,3.54082413793104,4.17574827586207,23.4,41,67.9767281105991,3.13324838709677,2
SWE,Lofven III,33.2378223495702,3.43562413793104,3.54082413793104,4.17574827586207,23.4,41,57.0972448979592,2.52441619047619,3
GBR,Johnson II,56.1538461538462,7.4261,7.5725,7.1901,22.8,88,59.0737426900585,1.31061198830409,1
GBR,Johnson II,56.1538461538462,7.4261,7.5725,7.1901,22.8,88,61.2436363636364,0.960685714285714,2
GBR,Johnson II,56.1538461538462,7.4261,7.5725,7.1901,22.8,88,65.7124113475177,1.38045939597315,3
